id,sensor__sensor_id,sensor__sensor_name,value,unit,timestamp
47,sensor_spo2,SPO2,95.9,%,2025-04-07 02:37:00
48,sensor_heart,Nhịp Tim,74.4,BPM,2025-04-07 02:37:00
49,sensor_temp,Nhiệt Độ,36.7,°C,2025-04-07 02:42:00
50,sensor_spo2,SPO2,96.1,%,2025-04-07 02:42:00
51,sensor_heart,Nhịp Tim,78.1,BPM,2025-04-07 02:42:00
52,sensor_temp,Nhiệt Độ,37.0,°C,2025-04-07 02:47:00
53,sensor_spo2,SPO2,97.5,%,2025-04-07 02:47:00
54,sensor_heart,Nhịp Tim,79.6,BPM,2025-04-07 02:47:00
55,sensor_temp,Nhiệt Độ,36.2,°C,2025-04-07 02:52:00
56,sensor_spo2,SPO2,97.9,%,2025-04-07 02:52:00
57,sensor_heart,Nhịp Tim,61.7,BPM,2025-04-07 02:52:00
58,sensor_temp,Nhiệt Độ,36.1,°C,2025-04-07 02:57:00
59,sensor_spo2,SPO2,97.8,%,2025-04-07 02:57:00
60,sensor_heart,Nhịp Tim,99.4,BPM,2025-04-07 02:57:00
61,sensor_temp,Nhiệt Độ,36.3,°C,2025-04-07 03:02:00
62,sensor_spo2,SPO2,99.0,%,2025-04-07 03:02:00
63,sensor_heart,Nhịp Tim,64.5,BPM,2025-04-07 03:02:00
64,sensor_temp,Nhiệt Độ,36.9,°C,2025-04-07 03:07:00
65,sensor_spo2,SPO2,99.3,%,2025-04-07 03:07:00
66,sensor_heart,Nhịp Tim,99.5,BPM,2025-04-07 03:07:00
67,sensor_temp,Nhiệt Độ,36.8,°C,2025-04-07 03:12:00
68,sensor_spo2,SPO2,99.8,%,2025-04-07 03:12:00
69,sensor_heart,Nhịp Tim,74.2,BPM,2025-04-07 03:12:00
70,sensor_temp,Nhiệt Độ,36.8,°C,2025-04-07 03:17:00
71,sensor_spo2,SPO2,99.2,%,2025-04-07 03:17:00
72,sensor_heart,Nhịp Tim,76.4,BPM,2025-04-07 03:17:00
73,sensor_temp,Nhiệt Độ,36.3,°C,2025-04-07 03:22:00
74,sensor_spo2,SPO2,96.3,%,2025-04-07 03:22:00
75,sensor_heart,Nhịp Tim,90.4,BPM,2025-04-07 03:22:00
76,sensor_temp,Nhiệt Độ,36.4,°C,2025-04-07 03:27:00
77,sensor_spo2,SPO2,97.5,%,2025-04-07 03:27:00
78,sensor_heart,Nhịp Tim,61.6,BPM,2025-04-07 03:27:00
79,sensor_temp,Nhiệt Độ,36.8,°C,2025-04-07 03:32:00
80,sensor_spo2,SPO2,98.5,%,2025-04-07 03:32:00
81,sensor_heart,Nhịp Tim,63.5,BPM,2025-04-07 03:32:00
82,sensor_temp,Nhiệt Độ,37.5,°C,2025-04-07 03:37:00
83,sensor_spo2,SPO2,98.2,%,2025-04-07 03:37:00
84,sensor_heart,Nhịp Tim,77.3,BPM,2025-04-07 03:37:00
85,sensor_temp,Nhiệt Độ,36.8,°C,2025-04-07 03:42:00
86,sensor_spo2,SPO2,99.2,%,2025-04-07 03:42:00
87,sensor_heart,Nhịp Tim,91.4,BPM,2025-04-07 03:42:00
88,sensor_temp,Nhiệt Độ,36.2,°C,2025-04-07 03:47:00
89,sensor_spo2,SPO2,98.2,%,2025-04-07 03:47:00
90,sensor_heart,Nhịp Tim,94.1,BPM,2025-04-07 03:47:00
91,sensor_temp,Nhiệt Độ,37.2,°C,2025-04-07 03:52:00
92,sensor_spo2,SPO2,98.4,%,2025-04-07 03:52:00
93,sensor_heart,Nhịp Tim,60.1,BPM,2025-04-07 03:52:00
94,sensor_temp,Nhiệt Độ,36.9,°C,2025-04-07 03:57:00
95,sensor_spo2,SPO2,95.7,%,2025-04-07 03:57:00
96,sensor_heart,Nhịp Tim,98.2,BPM,2025-04-07 03:57:00
97,sensor_temp,Nhiệt Độ,37.0,°C,2025-04-07 04:02:00
98,sensor_spo2,SPO2,99.8,%,2025-04-07 04:02:00
99,sensor_heart,Nhịp Tim,78.4,BPM,2025-04-07 04:02:00
100,sensor_temp,Nhiệt Độ,37.2,°C,2025-04-07 04:07:00
101,sensor_spo2,SPO2,96.4,%,2025-04-07 04:07:00
102,sensor_heart,Nhịp Tim,85.4,BPM,2025-04-07 04:07:00
103,sensor_temp,Nhiệt Độ,36.2,°C,2025-04-07 04:12:00
104,sensor_spo2,SPO2,95.0,%,2025-04-07 04:12:00
105,sensor_heart,Nhịp Tim,63.4,BPM,2025-04-07 04:12:00
106,sensor_temp,Nhiệt Độ,36.4,°C,2025-04-07 04:17:00
107,sensor_spo2,SPO2,97.4,%,2025-04-07 04:17:00
108,sensor_heart,Nhịp Tim,69.1,BPM,2025-04-07 04:17:00
109,sensor_temp,Nhiệt Độ,37.3,°C,2025-04-07 04:22:00
110,sensor_spo2,SPO2,95.3,%,2025-04-07 04:22:00
111,sensor_heart,Nhịp Tim,70.6,BPM,2025-04-07 04:22:00
112,sensor_temp,Nhiệt Độ,37.0,°C,2025-04-07 04:27:00
113,sensor_spo2,SPO2,95.8,%,2025-04-07 04:27:00
114,sensor_heart,Nhịp Tim,74.4,BPM,2025-04-07 04:27:00
115,sensor_temp,Nhiệt Độ,36.6,°C,2025-04-07 04:32:00
116,sensor_spo2,SPO2,96.2,%,2025-04-07 04:32:00
117,sensor_heart,Nhịp Tim,74.1,BPM,2025-04-07 04:32:00
118,sensor_temp,Nhiệt Độ,36.6,°C,2025-04-07 04:37:00
119,sensor_spo2,SPO2,98.1,%,2025-04-07 04:37:00
120,sensor_heart,Nhịp Tim,84.9,BPM,2025-04-07 04:37:00
121,sensor_temp,Nhiệt Độ,37.4,°C,2025-04-07 04:42:00
122,sensor_spo2,SPO2,98.0,%,2025-04-07 04:42:00
123,sensor_heart,Nhịp Tim,96.9,BPM,2025-04-07 04:42:00
124,sensor_temp,Nhiệt Độ,37.2,°C,2025-04-07 04:47:00
125,sensor_spo2,SPO2,96.7,%,2025-04-07 04:47:00
126,sensor_heart,Nhịp Tim,86.9,BPM,2025-04-07 04:47:00
127,sensor_temp,Nhiệt Độ,36.7,°C,2025-04-07 04:52:00
128,sensor_spo2,SPO2,98.2,%,2025-04-07 04:52:00
129,sensor_heart,Nhịp Tim,62.2,BPM,2025-04-07 04:52:00
130,sensor_temp,Nhiệt Độ,36.6,°C,2025-04-07 04:57:00
131,sensor_spo2,SPO2,97.7,%,2025-04-07 04:57:00
132,sensor_heart,Nhịp Tim,96.2,BPM,2025-04-07 04:57:00
133,sensor_temp,Nhiệt Độ,37.2,°C,2025-04-07 05:02:00
134,sensor_spo2,SPO2,99.7,%,2025-04-07 05:02:00
135,sensor_heart,Nhịp Tim,78.1,BPM,2025-04-07 05:02:00
136,sensor_temp,Nhiệt Độ,37.5,°C,2025-04-07 05:07:00
137,sensor_spo2,SPO2,99.3,%,2025-04-07 05:07:00
138,sensor_heart,Nhịp Tim,60.4,BPM,2025-04-07 05:07:00
139,sensor_temp,Nhiệt Độ,36.2,°C,2025-04-07 05:12:00
140,sensor_spo2,SPO2,98.3,%,2025-04-07 05:12:00
141,sensor_heart,Nhịp Tim,61.8,BPM,2025-04-07 05:12:00
142,sensor_temp,Nhiệt Độ,37.3,°C,2025-04-07 05:17:00
143,sensor_spo2,SPO2,99.9,%,2025-04-07 05:17:00
144,sensor_heart,Nhịp Tim,92.9,BPM,2025-04-07 05:17:00
145,sensor_temp,Nhiệt Độ,36.5,°C,2025-04-07 05:22:00
146,sensor_spo2,SPO2,99.7,%,2025-04-07 05:22:00
147,sensor_heart,Nhịp Tim,89.3,BPM,2025-04-07 05:22:00
148,sensor_temp,Nhiệt Độ,36.3,°C,2025-04-07 05:27:00
149,sensor_spo2,SPO2,98.7,%,2025-04-07 05:27:00
150,sensor_heart,Nhịp Tim,90.0,BPM,2025-04-07 05:27:00
151,sensor_temp,Nhiệt Độ,36.6,°C,2025-04-07 05:32:00
152,sensor_spo2,SPO2,96.5,%,2025-04-07 05:32:00
153,sensor_heart,Nhịp Tim,78.4,BPM,2025-04-07 05:32:00
154,sensor_temp,Nhiệt Độ,36.7,°C,2025-04-07 05:37:00
155,sensor_spo2,SPO2,97.0,%,2025-04-07 05:37:00
156,sensor_heart,Nhịp Tim,87.4,BPM,2025-04-07 05:37:00
157,sensor_temp,Nhiệt Độ,36.1,°C,2025-04-07 05:42:00
158,sensor_spo2,SPO2,95.7,%,2025-04-07 05:42:00
159,sensor_heart,Nhịp Tim,97.4,BPM,2025-04-07 05:42:00
160,sensor_temp,Nhiệt Độ,36.3,°C,2025-04-07 05:47:00
161,sensor_spo2,SPO2,99.7,%,2025-04-07 05:47:00
162,sensor_heart,Nhịp Tim,99.0,BPM,2025-04-07 05:47:00
163,sensor_temp,Nhiệt Độ,37.0,°C,2025-04-07 05:52:00
164,sensor_spo2,SPO2,95.4,%,2025-04-07 05:52:00
165,sensor_heart,Nhịp Tim,99.7,BPM,2025-04-07 05:52:00
166,sensor_temp,Nhiệt Độ,36.7,°C,2025-04-07 05:57:00
167,sensor_spo2,SPO2,99.8,%,2025-04-07 05:57:00
168,sensor_heart,Nhịp Tim,66.1,BPM,2025-04-07 05:57:00
169,sensor_temp,Nhiệt Độ,36.4,°C,2025-04-07 06:02:00
170,sensor_spo2,SPO2,95.3,%,2025-04-07 06:02:00
171,sensor_heart,Nhịp Tim,98.8,BPM,2025-04-07 06:02:00
172,sensor_temp,Nhiệt Độ,37.0,°C,2025-04-07 06:07:00
173,sensor_spo2,SPO2,99.2,%,2025-04-07 06:07:00
174,sensor_heart,Nhịp Tim,95.3,BPM,2025-04-07 06:07:00
175,sensor_temp,Nhiệt Độ,36.7,°C,2025-04-07 06:12:00
176,sensor_spo2,SPO2,97.8,%,2025-04-07 06:12:00
177,sensor_heart,Nhịp Tim,82.7,BPM,2025-04-07 06:12:00
178,sensor_temp,Nhiệt Độ,36.1,°C,2025-04-07 06:17:00
179,sensor_spo2,SPO2,96.5,%,2025-04-07 06:17:00
180,sensor_heart,Nhịp Tim,78.4,BPM,2025-04-07 06:17:00
181,sensor_temp,Nhiệt Độ,37.2,°C,2025-04-07 06:22:00
182,sensor_spo2,SPO2,97.2,%,2025-04-07 06:22:00
183,sensor_heart,Nhịp Tim,65.4,BPM,2025-04-07 06:22:00
184,sensor_temp,Nhiệt Độ,36.7,°C,2025-04-07 06:27:00
185,sensor_spo2,SPO2,97.2,%,2025-04-07 06:27:00
186,sensor_heart,Nhịp Tim,70.4,BPM,2025-04-07 06:27:00
187,sensor_temp,Nhiệt Độ,36.8,°C,2025-04-07 06:32:00
188,sensor_spo2,SPO2,97.9,%,2025-04-07 06:32:00
189,sensor_heart,Nhịp Tim,61.6,BPM,2025-04-07 06:32:00
190,sensor_temp,Nhiệt Độ,36.5,°C,2025-04-07 06:37:00
191,sensor_spo2,SPO2,96.6,%,2025-04-07 06:37:00
192,sensor_heart,Nhịp Tim,61.4,BPM,2025-04-07 06:37:00
193,sensor_temp,Nhiệt Độ,37.1,°C,2025-04-07 06:42:00
194,sensor_spo2,SPO2,100.0,%,2025-04-07 06:42:00
195,sensor_heart,Nhịp Tim,84.1,BPM,2025-04-07 06:42:00
196,sensor_temp,Nhiệt Độ,37.1,°C,2025-04-07 06:47:00
197,sensor_spo2,SPO2,99.3,%,2025-04-07 06:47:00
198,sensor_heart,Nhịp Tim,90.4,BPM,2025-04-07 06:47:00
199,sensor_temp,Nhiệt Độ,36.7,°C,2025-04-07 06:52:00
200,sensor_spo2,SPO2,97.4,%,2025-04-07 06:52:00
201,sensor_heart,Nhịp Tim,65.7,BPM,2025-04-07 06:52:00
202,sensor_temp,Nhiệt Độ,37.0,°C,2025-04-07 06:57:00
203,sensor_spo2,SPO2,98.6,%,2025-04-07 06:57:00
204,sensor_heart,Nhịp Tim,81.4,BPM,2025-04-07 06:57:00
205,sensor_temp,Nhiệt Độ,37.1,°C,2025-04-07 07:02:00
206,sensor_spo2,SPO2,95.8,%,2025-04-07 07:02:00
207,sensor_heart,Nhịp Tim,70.4,BPM,2025-04-07 07:02:00
208,sensor_temp,Nhiệt Độ,36.9,°C,2025-04-07 07:07:00
209,sensor_spo2,SPO2,97.9,%,2025-04-07 07:07:00
210,sensor_heart,Nhịp Tim,79.4,BPM,2025-04-07 07:07:00
211,sensor_temp,Nhiệt Độ,36.9,°C,2025-04-07 07:12:00
212,sensor_spo2,SPO2,99.9,%,2025-04-07 07:12:00
213,sensor_heart,Nhịp Tim,72.5,BPM,2025-04-07 07:12:00
214,sensor_temp,Nhiệt Độ,36.8,°C,2025-04-07 07:17:00
215,sensor_spo2,SPO2,96.2,%,2025-04-07 07:17:00
216,sensor_heart,Nhịp Tim,67.7,BPM,2025-04-07 07:17:00
217,sensor_temp,Nhiệt Độ,36.2,°C,2025-04-07 07:22:00
218,sensor_spo2,SPO2,95.9,%,2025-04-07 07:22:00
219,sensor_heart,Nhịp Tim,91.3,BPM,2025-04-07 07:22:00
220,sensor_temp,Nhiệt Độ,36.1,°C,2025-04-07 07:27:00
221,sensor_spo2,SPO2,95.3,%,2025-04-07 07:27:00
222,sensor_heart,Nhịp Tim,98.8,BPM,2025-04-07 07:27:00
223,sensor_temp,Nhiệt Độ,36.4,°C,2025-04-07 07:32:00
224,sensor_spo2,SPO2,99.9,%,2025-04-07 07:32:00
225,sensor_heart,Nhịp Tim,77.3,BPM,2025-04-07 07:32:00
226,sensor_temp,Nhiệt Độ,37.2,°C,2025-04-07 07:37:00
227,sensor_spo2,SPO2,97.0,%,2025-04-07 07:37:00
228,sensor_heart,Nhịp Tim,75.2,BPM,2025-04-07 07:37:00
229,sensor_temp,Nhiệt Độ,36.1,°C,2025-04-07 07:42:00
230,sensor_spo2,SPO2,97.2,%,2025-04-07 07:42:00
231,sensor_heart,Nhịp Tim,86.9,BPM,2025-04-07 07:42:00
232,sensor_temp,Nhiệt Độ,37.3,°C,2025-04-07 07:47:00
233,sensor_spo2,SPO2,99.4,%,2025-04-07 07:47:00
234,sensor_heart,Nhịp Tim,94.3,BPM,2025-04-07 07:47:00
235,sensor_temp,Nhiệt Độ,37.3,°C,2025-04-07 07:52:00
236,sensor_spo2,SPO2,99.4,%,2025-04-07 07:52:00
237,sensor_heart,Nhịp Tim,91.8,BPM,2025-04-07 07:52:00
238,sensor_temp,Nhiệt Độ,36.7,°C,2025-04-07 07:57:00
239,sensor_spo2,SPO2,97.7,%,2025-04-07 07:57:00
240,sensor_heart,Nhịp Tim,98.8,BPM,2025-04-07 07:57:00
241,sensor_temp,Nhiệt Độ,36.3,°C,2025-04-07 08:02:00
242,sensor_spo2,SPO2,96.0,%,2025-04-07 08:02:00
243,sensor_heart,Nhịp Tim,77.9,BPM,2025-04-07 08:02:00
244,sensor_temp,Nhiệt Độ,36.7,°C,2025-04-07 08:07:00
245,sensor_spo2,SPO2,97.1,%,2025-04-07 08:07:00
246,sensor_heart,Nhịp Tim,74.9,BPM,2025-04-07 08:07:00
247,sensor_temp,Nhiệt Độ,36.5,°C,2025-04-07 08:12:00
248,sensor_spo2,SPO2,96.6,%,2025-04-07 08:12:00
249,sensor_heart,Nhịp Tim,73.6,BPM,2025-04-07 08:12:00
250,sensor_temp,Nhiệt Độ,37.3,°C,2025-04-07 08:17:00
251,sensor_spo2,SPO2,97.0,%,2025-04-07 08:17:00
252,sensor_heart,Nhịp Tim,85.9,BPM,2025-04-07 08:17:00
253,sensor_temp,Nhiệt Độ,36.4,°C,2025-04-07 08:22:00
254,sensor_spo2,SPO2,98.4,%,2025-04-07 08:22:00
255,sensor_heart,Nhịp Tim,85.0,BPM,2025-04-07 08:22:00
256,sensor_temp,Nhiệt Độ,37.0,°C,2025-04-07 08:27:00
257,sensor_spo2,SPO2,95.6,%,2025-04-07 08:27:00
258,sensor_heart,Nhịp Tim,78.7,BPM,2025-04-07 08:27:00
259,sensor_temp,Nhiệt Độ,36.8,°C,2025-04-07 08:32:00
260,sensor_spo2,SPO2,98.8,%,2025-04-07 08:32:00
261,sensor_heart,Nhịp Tim,95.9,BPM,2025-04-07 08:32:00
262,sensor_temp,Nhiệt Độ,37.2,°C,2025-04-07 08:37:00
263,sensor_spo2,SPO2,96.1,%,2025-04-07 08:37:00
264,sensor_heart,Nhịp Tim,74.5,BPM,2025-04-07 08:37:00
265,sensor_temp,Nhiệt Độ,37.4,°C,2025-04-07 08:42:00
266,sensor_spo2,SPO2,97.2,%,2025-04-07 08:42:00
267,sensor_heart,Nhịp Tim,95.4,BPM,2025-04-07 08:42:00
268,sensor_temp,Nhiệt Độ,37.4,°C,2025-04-07 08:47:00
269,sensor_spo2,SPO2,98.9,%,2025-04-07 08:47:00
270,sensor_heart,Nhịp Tim,93.2,BPM,2025-04-07 08:47:00
271,sensor_temp,Nhiệt Độ,37.1,°C,2025-04-07 08:52:00
272,sensor_spo2,SPO2,96.8,%,2025-04-07 08:52:00
273,sensor_heart,Nhịp Tim,93.5,BPM,2025-04-07 08:52:00
274,sensor_temp,Nhiệt Độ,37.3,°C,2025-04-07 08:57:00
275,sensor_spo2,SPO2,99.9,%,2025-04-07 08:57:00
276,sensor_heart,Nhịp Tim,94.2,BPM,2025-04-07 08:57:00
277,sensor_temp,Nhiệt Độ,37.4,°C,2025-04-07 09:02:00
278,sensor_spo2,SPO2,97.3,%,2025-04-07 09:02:00
279,sensor_heart,Nhịp Tim,64.5,BPM,2025-04-07 09:02:00
280,sensor_temp,Nhiệt Độ,37.5,°C,2025-04-07 09:07:00
281,sensor_spo2,SPO2,96.6,%,2025-04-07 09:07:00
282,sensor_heart,Nhịp Tim,91.9,BPM,2025-04-07 09:07:00
283,sensor_temp,Nhiệt Độ,36.1,°C,2025-04-07 09:12:00
284,sensor_spo2,SPO2,97.5,%,2025-04-07 09:12:00
285,sensor_heart,Nhịp Tim,95.4,BPM,2025-04-07 09:12:00
286,sensor_temp,Nhiệt Độ,37.1,°C,2025-04-07 09:17:00
287,sensor_spo2,SPO2,99.8,%,2025-04-07 09:17:00
288,sensor_heart,Nhịp Tim,99.9,BPM,2025-04-07 09:17:00
289,sensor_temp,Nhiệt Độ,37.0,°C,2025-04-07 09:22:00
290,sensor_spo2,SPO2,95.4,%,2025-04-07 09:22:00
291,sensor_heart,Nhịp Tim,68.0,BPM,2025-04-07 09:22:00
292,sensor_temp,Nhiệt Độ,36.3,°C,2025-04-07 09:27:00
293,sensor_spo2,SPO2,99.2,%,2025-04-07 09:27:00
294,sensor_heart,Nhịp Tim,81.0,BPM,2025-04-07 09:27:00
295,sensor_temp,Nhiệt Độ,37.1,°C,2025-04-07 09:32:00
296,sensor_spo2,SPO2,99.4,%,2025-04-07 09:32:00
297,sensor_heart,Nhịp Tim,64.2,BPM,2025-04-07 09:32:00
298,sensor_temp,Nhiệt Độ,36.5,°C,2025-04-07 09:37:00
299,sensor_spo2,SPO2,99.6,%,2025-04-07 09:37:00
300,sensor_heart,Nhịp Tim,70.9,BPM,2025-04-07 09:37:00
301,sensor_temp,Nhiệt Độ,37.2,°C,2025-04-07 09:42:00
302,sensor_spo2,SPO2,97.5,%,2025-04-07 09:42:00
303,sensor_heart,Nhịp Tim,69.3,BPM,2025-04-07 09:42:00
304,sensor_temp,Nhiệt Độ,36.3,°C,2025-04-07 09:47:00
305,sensor_spo2,SPO2,96.9,%,2025-04-07 09:47:00
306,sensor_heart,Nhịp Tim,65.0,BPM,2025-04-07 09:47:00
307,sensor_temp,Nhiệt Độ,36.1,°C,2025-04-07 09:52:00
308,sensor_spo2,SPO2,99.6,%,2025-04-07 09:52:00
309,sensor_heart,Nhịp Tim,88.5,BPM,2025-04-07 09:52:00
310,sensor_temp,Nhiệt Độ,36.9,°C,2025-04-07 09:57:00
311,sensor_spo2,SPO2,95.1,%,2025-04-07 09:57:00
312,sensor_heart,Nhịp Tim,67.0,BPM,2025-04-07 09:57:00
313,sensor_temp,Nhiệt Độ,36.2,°C,2025-04-07 10:02:00
314,sensor_spo2,SPO2,95.4,%,2025-04-07 10:02:00
315,sensor_heart,Nhịp Tim,82.9,BPM,2025-04-07 10:02:00
316,sensor_temp,Nhiệt Độ,36.9,°C,2025-04-07 10:07:00
317,sensor_spo2,SPO2,99.5,%,2025-04-07 10:07:00
318,sensor_heart,Nhịp Tim,89.7,BPM,2025-04-07 10:07:00
319,sensor_temp,Nhiệt Độ,36.2,°C,2025-04-07 10:12:00
320,sensor_spo2,SPO2,97.7,%,2025-04-07 10:12:00
321,sensor_heart,Nhịp Tim,76.6,BPM,2025-04-07 10:12:00
322,sensor_temp,Nhiệt Độ,37.4,°C,2025-04-07 10:17:00
323,sensor_spo2,SPO2,95.9,%,2025-04-07 10:17:00
324,sensor_heart,Nhịp Tim,62.3,BPM,2025-04-07 10:17:00
325,sensor_temp,Nhiệt Độ,36.5,°C,2025-04-07 10:22:00
326,sensor_spo2,SPO2,98.4,%,2025-04-07 10:22:00
327,sensor_heart,Nhịp Tim,88.1,BPM,2025-04-07 10:22:00
328,sensor_temp,Nhiệt Độ,36.5,°C,2025-04-07 10:27:00
329,sensor_spo2,SPO2,98.8,%,2025-04-07 10:27:00
330,sensor_heart,Nhịp Tim,99.9,BPM,2025-04-07 10:27:00
331,sensor_temp,Nhiệt Độ,36.8,°C,2025-04-07 10:32:00
332,sensor_spo2,SPO2,95.5,%,2025-04-07 10:32:00
333,sensor_heart,Nhịp Tim,70.4,BPM,2025-04-07 10:32:00
334,sensor_temp,Nhiệt Độ,36.7,°C,2025-04-07 10:37:00
335,sensor_spo2,SPO2,96.5,%,2025-04-07 10:37:00
336,sensor_heart,Nhịp Tim,70.0,BPM,2025-04-07 10:37:00
337,sensor_temp,Nhiệt Độ,36.3,°C,2025-04-07 10:42:00
338,sensor_spo2,SPO2,97.2,%,2025-04-07 10:42:00
339,sensor_heart,Nhịp Tim,99.6,BPM,2025-04-07 10:42:00
340,sensor_temp,Nhiệt Độ,36.4,°C,2025-04-07 10:47:00
341,sensor_spo2,SPO2,99.8,%,2025-04-07 10:47:00
342,sensor_heart,Nhịp Tim,99.3,BPM,2025-04-07 10:47:00
343,sensor_temp,Nhiệt Độ,37.1,°C,2025-04-07 10:52:00
344,sensor_spo2,SPO2,97.9,%,2025-04-07 10:52:00
345,sensor_heart,Nhịp Tim,82.4,BPM,2025-04-07 10:52:00
346,sensor_temp,Nhiệt Độ,36.8,°C,2025-04-07 10:57:00
347,sensor_spo2,SPO2,96.0,%,2025-04-07 10:57:00
348,sensor_heart,Nhịp Tim,68.3,BPM,2025-04-07 10:57:00
349,sensor_temp,Nhiệt Độ,36.2,°C,2025-04-07 11:02:00
350,sensor_spo2,SPO2,99.3,%,2025-04-07 11:02:00
351,sensor_heart,Nhịp Tim,98.4,BPM,2025-04-07 11:02:00
352,sensor_temp,Nhiệt Độ,36.0,°C,2025-04-07 11:07:00
353,sensor_spo2,SPO2,95.3,%,2025-04-07 11:07:00
354,sensor_heart,Nhịp Tim,61.7,BPM,2025-04-07 11:07:00
355,sensor_temp,Nhiệt Độ,36.7,°C,2025-04-07 11:12:00
356,sensor_spo2,SPO2,96.8,%,2025-04-07 11:12:00
357,sensor_heart,Nhịp Tim,84.8,BPM,2025-04-07 11:12:00
358,sensor_temp,Nhiệt Độ,37.1,°C,2025-04-07 11:17:00
359,sensor_spo2,SPO2,98.0,%,2025-04-07 11:17:00
360,sensor_heart,Nhịp Tim,61.7,BPM,2025-04-07 11:17:00
361,sensor_temp,Nhiệt Độ,36.5,°C,2025-04-07 11:22:00
362,sensor_spo2,SPO2,99.9,%,2025-04-07 11:22:00
363,sensor_heart,Nhịp Tim,63.9,BPM,2025-04-07 11:22:00
364,sensor_temp,Nhiệt Độ,36.0,°C,2025-04-07 11:27:00
365,sensor_spo2,SPO2,97.5,%,2025-04-07 11:27:00
366,sensor_heart,Nhịp Tim,89.9,BPM,2025-04-07 11:27:00
367,sensor_temp,Nhiệt Độ,36.6,°C,2025-04-07 11:32:00
368,sensor_spo2,SPO2,98.5,%,2025-04-07 11:32:00
369,sensor_heart,Nhịp Tim,74.1,BPM,2025-04-07 11:32:00
370,sensor_temp,Nhiệt Độ,36.2,°C,2025-04-07 11:37:00
371,sensor_spo2,SPO2,96.9,%,2025-04-07 11:37:00
372,sensor_heart,Nhịp Tim,89.8,BPM,2025-04-07 11:37:00
373,sensor_temp,Nhiệt Độ,36.3,°C,2025-04-07 11:42:00
